originalLocation,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
H-06-12,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5,05W6TK;11.5
H-06-13,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5,05W6TK;12.5
H-06-21,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5,05W6TK;10.5
H-06-22,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0,05W6TK;11.0
H-06-23,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0,05W6TK;12.0
H-06-30,TBCCF7;16,N6JU7C;6,VHQ356;12,MLV9BR;13,J3FI7N;16,CD1NU9;13,RAUDQ6;5,SVFO5S;4,KTDZY0;11,QP56BU;13,JGP0ID;11,5X8RAN;10,X31OGS;8,0LNUOV;11,XFQ9CP;4,K3YA1X;12,KUFVRI;8,ADT9MG;9
H-06-40,ULG3QT;13,PC1PMV;16,O9YFO8;5,F0P5OQ;15,T3NVTG;13,F98BNI;7,9KHDG3;6,PP9DNA;7,56TC1Z;8,5IXVJ1;9,AHR20O;7,XFQ9CP;6,DSQXYR;5,W25EZN;12,WH1BJI;9,TNZ1OO;16,KUFVRI;11,PP9DNA;14
H-08-11,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5
H-08-12,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0,HOUGRO;8.0
H-08-13,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5
H-08-21,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5,8N10W9;9.5
H-08-22,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5
H-08-23,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5,HOUGRO;8.5
H-08-30,F7LULH;16,V6K6JX;11,O7TSVL;6,RUUOCB;11,V7JUQL;10,TB6WIP;13,Z26SRT;4,C5O9C9;5,PC1PMV;15,MLV9BR;13,IYLV38;12,8E9F1P;15,MLV9BR;15,7BU1V7;16,QP56BU;11,TB6WIP;5,5P4LRT;5,ZRCYSH;16
H-08-40,NISP6K;11,W25EZN;4,UDF17E;6,U8203G;12,AHSNWF;7,70EPUK;4,ZRCYSH;10,70EPUK;12,5MNTT7;8,QOMHJ2;7,YXGRMP;6,QP56BU;13,G8ASPE;11,QVFB0Q;7,Z26SRT;5,4E0KXI;5,J3FI7N;9,SMMRK3;4
H-10-11,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0
H-10-12,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0
H-10-13,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0,HOUGRO;13.0
H-10-21,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0,HOUGRO;9.0
H-10-22,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5,HOUGRO;10.5
H-10-23,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5,HOUGRO;11.5
H-10-30,6WT73N;11,J3FI7N;4,TLFT43;10,G8ASPE;6,Z8KPP8;12,N6JU7C;16,ZRCYSH;16,I1KDJ0;11,CST1KC;7,RUUOCB;5,AX7BJ8;8,CU53FM;13,D05ZS7;6,2Z7ZEP;11,IYV9SV;8,Q50W5L;14,56TC1Z;10,9S4AF8;13
H-10-40,X0HH8Y;5,PC1PMV;11,VHQ356;11,AHSNWF;16,A7MDBC;12,ZRCYSH;7,BLJLMQ;8,8D9SAW;13,S90CD9;14,5P4LRT;11,6MKIC6;16,QM2UH1;6,69L9MX;14,JEGRCL;12,DGAONE;4,37VA62;12,6M2FJM;7,XSFSKX;14
H-14-11,TAHFOD;5,M67GNC;11,FJ25W1;8,Q50W5L;5,5X8RAN;12,EA91CP;13,BLJLMQ;16,JEGRCL;15,4E0KXI;11,AX7BJ8;12,U95NWB;4,IYLV38;7,XSFSKX;11,56TC1Z;13,Q164T6;5,HI2X6U;6,PP9DNA;15,1JT1XB;5
H-14-12,RN2DSQ;14,J2URNJ;5,JWTWL1;4,APQKWK;12,JWTWL1;5,XSFSKX;12,YE890X;13,NJVZEL;15,ZGYCSW;10,IJBSQT;9,56TC1Z;11,AB9XBU;15,JHSQHS;15,70EPUK;4,ODZZLY;14,AB9XBU;16,XSFSKX;6,MLV9BR;10
H-14-13,UU4A1K;5,5P4LRT;8,02MRUH;6,IYLV38;6,UHYJ3A;16,N6JU7C;12,JGP0ID;11,WGHG3L;7,WGHG3L;9,U95NWB;9,VWXLZJ;12,I1X92B;9,IA7X1P;4,5P4LRT;14,U8203G;15,2OAVPY;13,U8203G;4,QP56BU;8
H-14-21,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0,KUFVRI;12.0
H-14-22,EUMBM7;5,SMMRK3;7,BLJLMQ;15,EUMBM7;10,JU0ODD;12,0SJH1Z;5,9VBE59;10,HOUJQN;8,HGXJD0;12,ZX6MUV;13,U8203G;6,ULG3QT;13,NISP6K;9,XUZJ74;13,HOUGRO;9,F73ZE1;5,EBKM6C;9,YXGRMP;7
H-14-23,XFQ9CP;11,TLFT43;10,6M2FJM;15,SY1DDY;16,NJVZEL;14,TBCCF7;14,9S4AF8;13,IYV9SV;12,066BOU;15,5P2MVG;13,AX7BJ8;13,800OVF;11,UDF17E;5,UDF17E;9,V7JUQL;13,8E9F1P;7,M67GNC;9,DF3KQM;10
H-14-30,UNPPMJ;5,IYXV3Z;16,NM6C73;16,HGXJD0;7,122OKQ;15,02MRUH;15,MLV9BR;11,HGXJD0;16,I1KDJ0;13,05W6TK;16,SSQFQA;5,YKQY4X;8,NISP6K;16,FQ53YY;16,ZGYCSW;12,XFQ9CP;9,EQQBND;5,8D9SAW;7
H-14-40,W25EZN;4,UDF17E;6,AHR20O;9,K3YA1X;10,HGXJD0;16,1D2ILZ;15,G8ASPE;16,NJVZEL;4,EA91CP;6,FJ25W1;9,X0HH8Y;11,ETU70R;12,V6K6JX;14,JGP0ID;7,YRRNGL;10,32ZKOX;14,8E9F1P;12,F0P5OQ;5
H-16-11,5P4LRT;6,EUMBM7;6,A7MDBC;5,VWXLZJ;7,ZGYCSW;15,JU0ODD;8,SY1DDY;5,O9YFO8;4,5X8RAN;7,EBKM6C;5,63KAC1;13,JHSQHS;10,F0P5OQ;12,S90CD9;10,O7TSVL;5,XLTRGL;10,122OKQ;10,SMMRK3;14
H-16-12,PC1PMV;4,JEGRCL;6,QOMHJ2;11,QOMHJ2;15,SMMRK3;15,4ILN0A;7,MLV9BR;12,Z26SRT;15,QTMT7N;6,S90CD9;9,UNPPMJ;14,UNPPMJ;4,D8AMD3;7,HXQR4L;16,2OAVPY;7,TB6WIP;4,M8W7TS;13,JU0ODD;11
H-16-13,NJVZEL;7,UDF17E;9,UHYJ3A;15,UU4A1K;8,EA91CP;12,PZUF7K;6,1D2ILZ;7,TBCCF7;5,ZX6MUV;6,2T1DJM;10,HA0BOB;13,0SJH1Z;10,1ENECA;12,02MRUH;12,PY5UPB;16,HXQR4L;8,YXGRMP;10,QTMT7N;5
H-16-21,DGAONE;4,HOUGRO;6,56TC1Z;15,JCNON3;5,6M2FJM;6,SVFO5S;16,YMN5EM;16,IJBSQT;10,O7TSVL;14,UU4A1K;8,FQ53YY;11,8D9SAW;6,J3FI7N;13,HOUJQN;8,4SD17H;14,PP9DNA;10,SMMRK3;15,VHQ356;16
H-16-22,N6JU7C;12,7GC57K;14,XPZSZ1;16,YKQY4X;10,NJVZEL;15,YKQY4X;15,Q50W5L;4,EBKM6C;8,UMKYTJ;4,F29V5I;13,YRRNGL;14,5P4LRT;10,JWTWL1;15,E5CISL;16,8N10W9;10,EO69NY;6,63KAC1;8,KUFVRI;8
H-16-23,9FWH2G;9,CU53FM;10,O7TSVL;15,066BOU;13,9VBE59;4,G8ASPE;10,6M2FJM;4,QXS5D1;6,0LNUOV;9,QTMT7N;10,JCIIEB;12,8N10W9;4,84ABYS;16,84ABYS;9,DSQXYR;6,XUZJ74;8,Q50W5L;15,ZGYCSW;5
H-16-30,EYEOXS;10,ASG1IT;10,PC1PMV;14,F0P5OQ;6,CD1NU9;15,SY1DDY;6,AKP0A7;15,G8ASPE;10,HOUGRO;10,A19092;15,JEGRCL;8,JCNON3;13,SY1DDY;8,PZUF7K;10,4E1WTK;15,O9YFO8;16,YN8OHN;6,YN8OHN;10
H-16-40,XPZSZ1;8,7BU1V7;15,AX7BJ8;7,WH1BJI;9,5MNTT7;12,6N3PKW;5,X0HH8Y;11,9S4AF8;10,ZRCYSH;15,2T1DJM;12,122OKQ;14,JCNON3;8,9FWH2G;16,ZX6MUV;8,AB9XBU;15,VWXLZJ;7,3LQL9L;10,5HQR89;16
H-18-11,VWXLZJ;6,G8ASPE;7,IYXV3Z;5,X31OGS;7,GPBMZJ;8,BLJLMQ;16,RUUOCB;10,69L9MX;6,ZGYCSW;14,ETU70R;8,122OKQ;15,IJBSQT;14,DF3KQM;12,A19092;9,DSQXYR;10,IJBSQT;9,IYXV3Z;9,CU53FM;13
H-18-12,AHR20O;4,9VBE59;4,KUFVRI;15,JHSQHS;8,QTMT7N;14,9S4AF8;6,TQBVRI;9,ODZZLY;12,JGP0ID;11,QP56BU;9,FQ53YY;11,3LQL9L;6,6MKIC6;15,O7AXAK;9,RN2DSQ;4,VWXLZJ;5,SMMRK3;15,F29V5I;7
H-18-13,1ENECA;4,IYXV3Z;8,I1X92B;14,TLFT43;5,Y813MQ;4,84ABYS;11,G8ASPE;7,8BSFSA;13,HI2X6U;7,Y813MQ;5,YRRNGL;4,MLV9BR;15,E2ES5Z;12,PZUF7K;8,1JT1XB;11,F73ZE1;13,SVFO5S;9,69L9MX;7
H-18-21,U8203G;8,M8W7TS;4,HXQR4L;14,NISP6K;12,DSQXYR;12,APQKWK;9,ADT9MG;9,2Z7ZEP;15,ASG1IT;11,EAJXUV;13,EA91CP;16,M67GNC;12,EO69NY;8,ZRCYSH;14,M8W7TS;12,KTDZY0;15,U8203G;16,JGP0ID;13
H-18-22,DGAONE;11,YMN5EM;12,AX7BJ8;15,9KZ6W1;11,8D9SAW;4,4ILN0A;8,WGHG3L;5,2OAVPY;11,U95NWB;16,ULG3QT;8,IYV9SV;8,I2B1FH;14,WGHG3L;4,1A6YTA;11,XSFSKX;4,ZX6MUV;16,066BOU;13,QP56BU;15
H-18-23,8N10W9;11,PP9DNA;7,EUMBM7;16,HOUGRO;9,MLV9BR;6,O7AXAK;16,HGXJD0;6,QOMHJ2;7,B24J86;14,XFQ9CP;9,W25EZN;4,XLTRGL;9,SWN7AU;11,0LNUOV;14,X0HH8Y;14,5HQR89;4,Z8KPP8;16,ZRCYSH;8
H-18-30,KUFVRI;4,MLV9BR;15,2LPO6D;15,NM6C73;6,TAHFOD;12,EQQBND;13,SWN7AU;14,PZUF7K;6,E2ES5Z;16,IYXV3Z;12,066BOU;5,9KZ6W1;8,QM2UH1;10,YE890X;6,9VBE59;7,9KHDG3;9,7GC57K;14,TNAHD4;14
H-18-40,XLTRGL;7,F98BNI;9,Y813MQ;10,2OAVPY;4,JEGRCL;15,2LPO6D;8,GPBMZJ;13,UCRNWD;10,F29V5I;15,2OAVPY;7,066BOU;13,GPBMZJ;14,YRRNGL;15,9KZ6W1;7,EA91CP;7,CST1KC;6,F73ZE1;8,QVFB0Q;15
H-20-11,NJVZEL;11,A19092;5,69L9MX;6,PC1PMV;4,H1I7JZ;6,4E1WTK;9,ZGYCSW;15,SY1DDY;7,YN8OHN;5,S90CD9;4,0SJH1Z;10,CST1KC;7,SWN7AU;4,G8ASPE;16,W518XY;13,ZRCYSH;4,BLJLMQ;16,DNLEH7;16
H-20-12,E2ES5Z;16,800OVF;7,SWN7AU;16,5MNTT7;13,7GC57K;5,AHR20O;5,PY5UPB;5,QP56BU;13,066BOU;5,6N3PKW;12,Z26SRT;10,9VBE59;6,PC1PMV;15,TNZ1OO;6,Z8KPP8;10,ADT9MG;16,QTMT7N;4,69L9MX;7
H-20-13,DGAONE;10,8N10W9;4,TOENMT;13,X0HH8Y;7,S90CD9;6,I1KDJ0;16,UNPPMJ;11,2OAVPY;15,5X8RAN;9,QOMHJ2;15,6WT73N;14,HGXJD0;13,YXGRMP;16,D8AMD3;6,O9YFO8;13,XPZSZ1;5,JWTWL1;16,A19092;10
H-20-21,KTDZY0;8,NJVZEL;4,7BU1V7;13,BLJLMQ;16,5X8RAN;10,ODZZLY;12,BLJLMQ;5,EYEOXS;12,VWXLZJ;4,CVU3QV;7,2LPO6D;5,63KAC1;9,NM6C73;9,4E0KXI;14,CU53FM;7,U95NWB;10,CVU3QV;6,K3YA1X;13
H-20-22,SWN7AU;12,F73ZE1;8,ADT9MG;7,ULG3QT;8,YE890X;6,69L9MX;15,YMN5EM;9,ZX6MUV;10,RAUDQ6;16,JCIIEB;5,QOMHJ2;8,DSQXYR;7,5MNTT7;4,V6K6JX;10,9FWH2G;9,I1X92B;11,G8ASPE;15,CVU3QV;9
H-20-23,AHSNWF;4,0LNUOV;7,WGHG3L;4,I1KDJ0;5,5IXVJ1;15,4E0KXI;6,UMKYTJ;5,ASG1IT;9,0SJH1Z;16,U8203G;10,7BU1V7;8,84ABYS;12,EBKM6C;14,EYEOXS;4,XUZJ74;5,32ZKOX;11,SMMRK3;7,YKQY4X;16
H-20-30,H51IVV;12,TLFT43;13,ETU70R;11,7BU1V7;9,HOUJQN;16,EA91CP;12,9KZ6W1;9,KZ5VR3;5,2Z7ZEP;6,KTDZY0;6,IJBSQT;6,4SD17H;8,QXS5D1;9,6WT73N;6,1D2ILZ;15,PY5UPB;5,4E1WTK;10,HOUJQN;16
H-20-40,HI2X6U;6,N6JU7C;8,5MNTT7;13,9VBE59;14,Z26SRT;14,CVU3QV;5,EQQBND;5,NJVZEL;6,70EPUK;7,G8ASPE;16,IPGA7X;13,IA7X1P;16,56TC1Z;5,4SD17H;6,84ABYS;7,QP56BU;14,QP56BU;7,K3YA1X;9
H-22-11,J3FI7N;16,SMMRK3;13,EAJXUV;4,M8W7TS;7,T3NVTG;13,SVJZKL;8,X31OGS;8,I2B1FH;15,YMN5EM;15,JWTWL1;13,J3FI7N;9,Q50W5L;13,XUZJ74;6,SVFO5S;11,YKQY4X;10,Y813MQ;8,IYLV38;12,SSQFQA;6
H-22-12,ADT9MG;13,I2B1FH;11,9KZ6W1;9,EO69NY;16,CD1NU9;6,PY5UPB;11,2T1DJM;9,I1KDJ0;4,IYLV38;13,TAHFOD;6,DGAONE;5,KZ5VR3;12,U95NWB;13,JGP0ID;9,JHSQHS;16,Z8KPP8;8,EBKM6C;14,HGXJD0;10
H-22-13,A7MDBC;6,6M2FJM;14,XUZJ74;4,UHYJ3A;7,LXJQVG;9,4E1WTK;15,YE890X;13,IPGA7X;12,Z26SRT;5,YE890X;14,VWXLZJ;12,GPBMZJ;8,O7AXAK;10,ZGYCSW;10,IYV9SV;8,BLJLMQ;7,6M2FJM;6,2T1DJM;13
H-22-21,YRRNGL;10,DF3KQM;11,MLV9BR;6,EQQBND;4,M67GNC;16,9KHDG3;14,YN8OHN;10,2Z7ZEP;11,IYXV3Z;11,O7AXAK;8,AHR20O;7,HGXJD0;9,QM2UH1;13,5MNTT7;8,TNAHD4;5,XUZJ74;7,6NDM0O;15,CD1NU9;6
H-22-22,VWXLZJ;10,D05ZS7;13,W25EZN;14,TQBVRI;7,4E0KXI;11,ASG1IT;5,B24J86;5,WGHG3L;10,WH1BJI;16,ADT9MG;8,6MKIC6;16,AB9XBU;15,2LPO6D;16,KZ5VR3;9,3LQL9L;13,2LPO6D;16,DSQXYR;9,QP56BU;5
H-22-23,F73ZE1;9,0SJH1Z;4,AB9XBU;9,QVFB0Q;9,ASG1IT;6,XFQ9CP;9,CST1KC;13,Y813MQ;7,JGP0ID;12,8N10W9;12,5P2MVG;4,3LQL9L;4,IPGA7X;11,M67GNC;11,122OKQ;16,TNAHD4;15,JUUL5B;10,QP56BU;12
H-22-30,SVFO5S;6,37VA62;13,ASG1IT;7,WRRW1W;16,7GC57K;9,4SD17H;5,XSFSKX;11,HLOISD;9,8D9SAW;10,6M2FJM;9,T3NVTG;6,SSQFQA;10,DGAONE;12,6WT73N;11,NJVZEL;11,PZUF7K;10,4E0KXI;14,YN8OHN;15
H-22-40,YMN5EM;13,Z26SRT;7,122OKQ;5,XSFSKX;5,JGP0ID;14,5HQR89;11,YN8OHN;5,84ABYS;5,DNLEH7;11,KZ5VR3;11,SSQFQA;16,HOUGRO;12,JHSQHS;8,PP9DNA;15,GPBMZJ;7,JUUL5B;11,CVU3QV;12,8N10W9;15
H-24-11,U8203G;12,IPGA7X;8,IYXV3Z;9,ZRCYSH;10,J2URNJ;8,GPBMZJ;5,ETU70R;16,UDF17E;7,JEGRCL;12,EQQBND;12,KZ5VR3;6,37VA62;9,56TC1Z;4,TBCCF7;13,CST1KC;7,UU4A1K;13,JWTWL1;12,TB6WIP;5
H-24-12,SWN7AU;14,DNLEH7;11,I1KDJ0;9,QM2UH1;9,IYXV3Z;4,6MKIC6;9,SVFO5S;7,JWTWL1;4,ZGYCSW;16,N6JU7C;14,WRRW1W;15,HLOISD;4,5X8RAN;13,8D9SAW;11,G8ASPE;14,JCNON3;8,0SJH1Z;9,F29V5I;15
H-24-13,JU0ODD;9,6M2FJM;11,F0P5OQ;11,DNLEH7;7,122OKQ;9,6MKIC6;7,V7JUQL;13,YXGRMP;13,O7AXAK;10,8E9F1P;13,CU53FM;10,TBCCF7;12,CVU3QV;6,TNAHD4;7,6M2FJM;9,2OAVPY;13,9KZ6W1;13,TB6WIP;4
H-24-21,F7LULH;4,HLOISD;4,EO69NY;16,QOMHJ2;4,E2ES5Z;12,5X8RAN;10,W518XY;9,AB9XBU;14,XSFSKX;11,37VA62;12,1ENECA;13,PY5UPB;4,F73ZE1;15,9FWH2G;8,XSFSKX;4,Z8KPP8;10,63KAC1;10,7BU1V7;16
H-24-22,FQ53YY;15,D05ZS7;14,JU0ODD;16,ODZZLY;9,JEGRCL;16,4E0KXI;5,DF3KQM;10,J3FI7N;10,5IXVJ1;13,QXS5D1;10,B24J86;16,TOENMT;6,8E9F1P;5,QP56BU;14,RBKNR4;4,KUFVRI;7,VHQ356;7,Y813MQ;11
H-24-23,69L9MX;12,6M2FJM;8,HCMI82;5,05W6TK;8,N6JU7C;8,J3FI7N;11,Y813MQ;11,ODZZLY;11,GPBMZJ;5,U8203G;10,Z8KPP8;16,HOUGRO;5,HOUGRO;10,I2B1FH;9,EUMBM7;14,JHSQHS;6,YN8OHN;13,JUUL5B;14
H-24-30,RAUDQ6;8,T3NVTG;9,JGP0ID;15,2LPO6D;14,F29V5I;15,UU4A1K;16,5IXVJ1;4,UU4A1K;16,9S4AF8;16,XLTRGL;5,5IXVJ1;8,ZX6MUV;16,4E1WTK;16,Z26SRT;11,PP9DNA;8,63KAC1;6,122OKQ;4,ADT9MG;9
H-24-40,TB6WIP;7,5MNTT7;5,XPZSZ1;4,02MRUH;11,WH1BJI;8,UU4A1K;13,APQKWK;16,TB6WIP;14,IYXV3Z;6,XSFSKX;7,AKP0A7;11,V7JUQL;8,I2B1FH;12,F98BNI;4,6WT73N;16,B24J86;14,2OAVPY;9,37VA62;13
I-01-11,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5,JEGRCL;7.5
I-01-12,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0
I-01-13,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0,JEGRCL;9.0
I-01-21,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0,JEGRCL;7.0
I-01-22,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0,JEGRCL;8.0
I-01-23,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5,JEGRCL;8.5
I-01-30,ZGYCSW;6,SWN7AU;14,8N10W9;6,NISP6K;11,02MRUH;10,E2ES5Z;8,IA7X1P;16,AB9XBU;4,70EPUK;5,32ZKOX;12,2OAVPY;16,EAJXUV;4,XUZJ74;4,YE890X;13,UCRNWD;6,9VBE59;8,TNAHD4;12,8E9F1P;6
I-01-40,2OAVPY;8,9KHDG3;12,C5O9C9;15,8E9F1P;7,2T1DJM;7,84ABYS;5,QTMT7N;16,JCNON3;15,F98BNI;16,IA7X1P;6,7GC57K;9,JHSQHS;9,GPBMZJ;12,YKQY4X;6,JUUL5B;4,PP9DNA;4,JHSQHS;5,G8ASPE;11
